amount_financed,days_till_payment,max_client_financed_amount,client_size,debtor_size,debtor_type,client_transactions,debtor_transactions,average_client_spread,debtor_tenure,client_recency,fee_percentage
77161,63,34562620,Medium,Large,private,2,1,4.42,339.0,3.0,4.878333333
1628274,31,90914675,Medium,Large,private,1,2,1.2,228.0,0.0,1.658333333
40492,34,243661504,Small,Large,private,2,2,4.0,103.0,52.0,4.458333333
40492,34,243661504,Small,Large,private,3,3,4.0,103.0,52.0,4.458333333
160755,62,90914675,Medium,Large,private,6,2,4.446666667,339.0,0.0,4.958333333
611381,47,24348375,Small,Large,private,2,2,1.6,327.0,54.0,2.058333333
611381,47,24348375,Small,Large,private,3,3,1.6,327.0,54.0,2.058333333
611381,47,24348375,Small,Large,private,4,4,1.6,327.0,54.0,2.058333333
611381,47,24348375,Small,Large,private,5,5,1.6,327.0,54.0,2.058333333
611381,47,24348375,Small,Large,private,6,6,1.6,327.0,54.0,2.058333333
611381,47,24348375,Small,Large,private,7,7,1.6,327.0,54.0,2.058333333
611381,47,24348375,Small,Large,private,8,8,1.6,327.0,54.0,2.058333333
611381,47,24348375,Small,Large,private,9,9,1.6,327.0,54.0,2.058333333
611381,47,24348375,Small,Large,private,10,10,1.6,327.0,54.0,2.058333333
1411664,45,289453648,Medium,Large,private,2,2,1.6,292.0,13.0,2.058333333
1411664,45,289453648,Medium,Large,private,3,3,1.6,292.0,13.0,2.058333333
921489,61,25918248,Micro Business,Large,private,2,2,1.8,326.0,8.0,2.258333333
921489,61,23864212,Micro Business,Large,private,3,3,1.8,326.0,8.0,2.258333333
63040,31,86250367,Small,Large,private,2,2,6.07,34.0,20.0,6.528333333
89819,42,11074140,Small,Large,public,2,1,2.31,43.0,19.0,2.768333333
48688,28,72118569,No Information,No Information,public,4,1,2.6825,265.0,21.0,2.958333333
487370,43,160373752,Small,No Information,public,2,2,1.16,274.0,20.0,1.618333333
487370,43,196162268,Small,No Information,public,3,3,1.16,274.0,20.0,1.618333333
204843,46,34601245,Medium,Large,private,7,4,4.254285714,41.0,0.0,3.558333333
204843,46,34601245,Medium,Large,private,8,5,4.11,41.0,0.0,3.558333333
83747,44,8715249,Small,No Information,private,7,1,3.1,91.0,13.0,3.558333333
497229,35,14137200,No Information,Large,private,2,2,1.15,340.0,82.0,1.608333333
497229,35,3130176,No Information,Large,private,4,4,1.15,340.0,82.0,1.608333333
497229,35,18470435,No Information,Large,private,5,5,1.15,340.0,82.0,1.608333333
497229,35,51795205,No Information,Large,private,7,7,1.15,340.0,82.0,1.608333333
497229,35,66169366,No Information,Large,private,8,8,1.15,340.0,82.0,1.608333333
497229,35,107214465,No Information,Large,private,9,9,1.15,340.0,82.0,1.608333333
497229,35,14137200,No Information,Large,private,10,10,1.15,340.0,82.0,1.608333333
497229,35,37299205,No Information,Large,private,11,11,1.15,340.0,82.0,1.608333333
497229,35,47152047,No Information,Large,private,12,12,1.15,340.0,82.0,1.608333333
497229,35,17258440,No Information,Large,private,14,14,1.15,340.0,82.0,1.608333333
71186,36,4171939,Small,No Information,private,2,1,3.2,335.0,8.0,3.658333333
64141,62,40501527,Medium,Large,private,2,1,2.615,39.0,3.0,3.688333333
64141,62,40501527,Medium,Large,private,3,2,2.82,39.0,3.0,3.688333333
64141,62,40501527,Medium,No Information,private,4,1,2.9225,28.0,3.0,3.688333333
55620,65,85833210,No Information,Large,private,1,2,4.2,321.0,6.0,4.658333333
55620,65,18468800,No Information,Large,private,2,3,4.2,321.0,6.0,4.658333333
55620,65,85833210,No Information,Large,private,3,4,4.2,321.0,6.0,4.658333333
55620,65,85833210,No Information,Large,private,4,5,4.2,321.0,6.0,4.658333333
55620,65,18468800,No Information,Large,private,6,7,4.2,321.0,6.0,4.658333333
55620,65,1071337,No Information,Large,private,8,9,4.2,321.0,6.0,4.658333333
55620,65,18912063,No Information,Large,private,9,10,4.2,321.0,6.0,4.658333333
18398,70,599045346,Small,Large,private,1,16,4.5,341.0,11.0,4.958333333
44289,46,5137363,No Information,Large,private,3,3,2.17,281.0,5.0,2.628333333
187186,35,21724151,No Information,Large,private,3,1,1.12,336.0,14.0,1.578333333
187186,46,34888164,No Information,Large,private,5,1,1.12,336.0,14.0,1.578333333
187186,46,21724151,No Information,Large,private,6,2,1.12,336.0,14.0,1.578333333
187186,46,21724151,No Information,Large,private,9,5,1.12,336.0,14.0,1.578333333
187186,35,78121087,No Information,Large,private,10,1,1.12,336.0,14.0,1.578333333
187186,35,29794579,No Information,Large,private,11,1,1.12,320.0,14.0,1.578333333
187186,35,15301182,No Information,Large,private,12,3,1.12,336.0,14.0,1.578333333
166864,35,317425094,Small,Large,private,3,1,1.8,328.0,23.0,2.258333333
181335,35,31576923,Small,No Information,private,2,2,1.99,338.0,23.0,2.448333333
1629921,91,179133702,Micro Business,Large,private,2,2,1.35,218.0,33.0,1.808333333
38080,32,72118569,Micro Business,Small,private,2,1,1.99,65.0,13.0,2.448333333
16254,71,145160506,Small,Large,private,2,17,4.385,341.0,0.0,4.728333333
160381,32,179187121,Small,Large,private,2,2,1.85,31.0,31.0,2.308333333
160381,32,64382982,Small,Large,private,3,3,1.85,31.0,31.0,2.308333333
160381,32,7644415,Small,Large,private,4,4,1.85,31.0,31.0,2.308333333
398303,61,69869029,Medium,Large,private,9,6,4.042222222,342.0,2.0,3.958333333
398303,61,20087200,Medium,No Information,private,11,1,3.943636364,258.0,2.0,3.958333333
636174,60,55333147,Medium,Large,private,5,1,2.668,323.0,2.0,2.108333333
187186,32,209629452,No Information,Large,private,2,2,4.1,342.0,1.0,4.958333333
173360,42,29407134,No Information,Large,private,2,1,1.95,264.0,8.0,2.408333333
187186,43,655987,Small,No Information,private,1,3,0.8,338.0,78.0,1.258333333
